"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","load_time","stimulus","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","webgazer_data","webgazer_targets","size","target","response_answer","correct","webgazer_targets_data"
"","canvas-keyboard-response","95","208078","0.0-5.0-5.0-0.8","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","96","208188","0.0-5.0-5.0-1.8","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","97","209534","0.0-5.0-5.0-2.8","","","","","337","6","","","[""circle"",""circle""]","","","","","","","","","","[{""x"":888,""y"":634,""t"":3},{""x"":923,""y"":605,""t"":38},{""x"":938,""y"":651,""t"":77},{""x"":989,""y"":637,""t"":105},{""x"":1003,""y"":606,""t"":141},{""x"":1009,""y"":586,""t"":175},{""x"":999,""y"":585,""t"":220},{""x"":1028,""y"":605,""t"":245},{""x"":1053,""y"":606,""t"":275}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","2","red","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","98","210558","0.0-5.0-5.0-0.9","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","99","210667","0.0-5.0-5.0-1.9","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","100","212038","0.0-5.0-5.0-2.9","","","","","360","6","","","[""circle"",""circle""]","","","","","","","","","","[{""x"":1098,""y"":617,""t"":3},{""x"":1094,""y"":622,""t"":38},{""x"":1079,""y"":603,""t"":72},{""x"":1097,""y"":593,""t"":110},{""x"":1098,""y"":591,""t"":137},{""x"":1066,""y"":576,""t"":174},{""x"":1038,""y"":554,""t"":215},{""x"":1038,""y"":555,""t"":242},{""x"":1037,""y"":576,""t"":278},{""x"":1069,""y"":586,""t"":310}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","2","red","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","101","213061","0.0-5.0-5.0-0.10","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","102","213183","0.0-5.0-5.0-1.10","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
"","canvas-keyboard-response","103","214542","0.0-5.0-5.0-2.10","","","","","347","6","","","[""circle"",""circle""]","","","","","","","","","","[{""x"":1046,""y"":579,""t"":3},{""x"":1065,""y"":569,""t"":38},{""x"":1041,""y"":549,""t"":85},{""x"":1019,""y"":565,""t"":114},{""x"":990,""y"":602,""t"":141},{""x"":973,""y"":604,""t"":179},{""x"":945,""y"":621,""t"":207},{""x"":963,""y"":600,""t"":255},{""x"":952,""y"":624,""t"":280},{""x"":989,""y"":625,""t"":310}]","{""#container"":{""x"":410,""y"":54.390625,""width"":1100,""height"":1000,""top"":54.390625,""right"":1510,""bottom"":1054.390625,""left"":410}}","2","blue","6","true","[{""x"":250,""y"":500,""width"":80,""height"":80,""top"":460,""right"":290,""bottom"":540,""left"":210},{""x"":850,""y"":500,""width"":80,""height"":80,""top"":460,""right"":890,""bottom"":540,""left"":810}]"
"","canvas-keyboard-response","104","215568","0.0-5.0-5.0-0.11","","","","","null","null","","","","","","","","","recognition","","[""5"",""6"",""4"",""6"",""4"",""5"",""5"",""4"",""6"",""4"",""5"",""5"",""4"",""5"",""6"",""6"",""4"",""6"",""6"",""5"",""4"",""4"",""5"",""6"",""5"",""4"",""6"",""6"",""6"",""6"",""5"",""4"",""4"",""4"",""5"",""5""]","1000","","","","","","",""
